"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidades.nlogo"
"VillageCentralidad"
"09/07/2022 13:27:17:692 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-semillas","tipo-semillas","[step]","ticks"
"613","3","degree","65","65"
"617","3","degree","60","60"
"618","3","degree","64","64"
"616","3","degree","55","55"
"615","3","degree","70","70"
"619","3","degree","53","53"
"620","3","degree","50","50"
"621","3","degree","58","58"
"622","3","degree","79","79"
"623","3","degree","75","75"
"624","3","degree","68","68"
"626","3","degree","64","64"
"625","3","degree","49","49"
"628","3","degree","69","69"
"630","3","degree","49","49"
"627","3","degree","96","96"
"632","3","degree","58","58"
"629","3","degree","79","79"
"634","3","degree","52","52"
"633","3","degree","65","65"
"631","3","degree","81","81"
"636","3","degree","60","60"
"639","3","degree","41","41"
"635","3","degree","62","62"
"640","3","degree","77","77"
"642","3","degree","60","60"
"638","3","degree","86","86"
"641","3","degree","63","63"
"637","3","degree","82","82"
"643","3","degree","53","53"
"644","3","degree","51","51"
"645","3","degree","70","70"
"646","3","degree","54","54"
"647","3","degree","73","73"
"649","3","degree","66","66"
"650","3","degree","74","74"
"648","3","degree","95","95"
"651","3","degree","64","64"
"653","3","degree","49","49"
"654","3","degree","34","34"
"652","3","degree","79","79"
"657","3","degree","45","45"
"656","3","degree","66","66"
"659","3","degree","58","58"
"655","3","degree","122","122"
"658","3","degree","64","64"
"662","3","degree","48","48"
"661","3","degree","70","70"
"664","3","degree","68","68"
"663","3","degree","68","68"
"660","3","degree","68","68"
"665","3","degree","57","57"
"666","3","degree","50","50"
"667","3","degree","52","52"
"668","3","degree","72","72"
"669","3","degree","83","83"
"670","3","degree","72","72"
"671","3","degree","73","73"
"674","3","degree","83","83"
"672","3","degree","85","85"
"675","3","degree","66","66"
"676","3","degree","74","74"
"677","3","degree","42","42"
"678","3","degree","48","48"
"673","3","degree","193","193"
"682","3","degree","40","40"
"679","3","degree","60","60"
"680","3","degree","74","74"
"681","3","degree","95","95"
"683","3","degree","84","84"
"687","3","degree","61","61"
"689","3","degree","64","64"
"684","3","degree","90","90"
"686","3","degree","73","73"
"685","3","degree","102","102"
"688","3","degree","78","78"
"690","3","degree","83","83"
"691","3","degree","52","52"
"693","3","degree","50","50"
"694","3","degree","64","64"
"692","3","degree","75","75"
"695","3","degree","86","86"
"696","3","degree","79","79"
"697","3","degree","60","60"
"698","3","degree","70","70"
"699","3","degree","85","85"
"700","3","degree","75","75"
"703","3","degree","53","53"
"701","3","degree","70","70"
"702","3","degree","42","42"
"704","3","degree","46","46"
"705","3","degree","55","55"
"709","3","degree","42","42"
"706","3","degree","57","57"
"707","3","degree","58","58"
"712","3","degree","42","42"
"708","3","degree","78","78"
"711","3","degree","57","57"
"710","3","degree","76","76"
"713","3","degree","81","81"
"716","3","degree","69","69"
"719","3","degree","44","44"
"714","3","degree","95","95"
"715","3","degree","89","89"
"720","3","degree","48","48"
"718","3","degree","58","58"
"717","3","degree","68","68"
"721","3","degree","65","65"
"723","3","degree","45","45"
"722","3","degree","53","53"
"726","3","degree","56","56"
"727","3","degree","81","81"
"725","3","degree","81","81"
"728","3","degree","78","78"
"724","3","degree","125","125"
"730","3","degree","89","89"
"731","3","degree","49","49"
"729","3","degree","100","100"
"733","3","degree","62","62"
"736","3","degree","61","61"
"734","3","degree","73","73"
"732","3","degree","96","96"
"738","3","degree","55","55"
"735","3","degree","93","93"
"737","3","degree","84","84"
"741","3","degree","60","60"
"742","3","degree","49","49"
"740","3","degree","119","119"
"743","3","degree","67","67"
"746","3","degree","64","64"
"744","3","degree","71","71"
"739","3","degree","139","139"
"745","3","degree","79","79"
"747","3","degree","100","100"
"749","3","degree","90","90"
"748","3","degree","94","94"
"750","3","degree","86","86"
"751","3","degree","61","61"
"752","3","degree","74","74"
"753","3","degree","66","66"
"755","3","degree","43","43"
"757","3","degree","75","75"
"760","3","degree","37","37"
"756","3","degree","111","111"
"754","3","degree","143","143"
"758","3","degree","79","79"
"759","3","degree","100","100"
"761","3","degree","81","81"
"763","3","degree","49","49"
"762","3","degree","77","77"
"765","3","degree","51","51"
"766","3","degree","49","49"
"768","3","degree","73","73"
"770","3","degree","41","41"
"764","3","degree","107","107"
"771","3","degree","70","70"
"767","3","degree","108","108"
"772","3","degree","75","75"
"774","3","degree","57","57"
"773","3","degree","98","98"
"769","3","degree","178","178"
"775","3","degree","87","87"
"776","3","degree","70","70"
"777","3","degree","78","78"
"778","3","degree","74","74"
"779","3","degree","64","64"
"780","3","degree","57","57"
"781","3","degree","52","52"
"783","3","degree","42","42"
"782","3","degree","74","74"
"784","3","degree","75","75"
"787","3","degree","50","50"
"785","3","degree","67","67"
"786","3","degree","72","72"
"788","3","degree","70","70"
"789","3","degree","63","63"
"791","3","degree","47","47"
"794","3","degree","39","39"
"790","3","degree","66","66"
"793","3","degree","62","62"
"792","3","degree","85","85"
"796","3","degree","53","53"
"798","3","degree","47","47"
"797","3","degree","70","70"
"800","3","degree","56","56"
"801","3","degree","58","58"
"799","3","degree","90","90"
"795","3","degree","113","113"
"802","3","degree","85","85"
"803","3","degree","88","88"
"804","3","degree","58","58"
"805","3","degree","44","44"
"807","3","degree","57","57"
"806","3","degree","75","75"
"808","3","degree","74","74"
"809","3","degree","62","62"
"811","3","degree","62","62"
"812","3","degree","47","47"
"813","3","degree","60","60"
"814","3","degree","39","39"
"810","3","degree","93","93"
"816","3","degree","45","45"
"815","3","degree","64","64"
"817","3","degree","49","49"
"818","3","degree","52","52"
"819","3","degree","82","82"
"822","3","degree","71","71"
"824","3","degree","45","45"
"821","3","degree","114","114"
"823","3","degree","96","96"
"825","3","degree","73","73"
"820","3","degree","134","134"
"826","3","degree","70","70"
"827","3","degree","47","47"
"830","3","degree","43","43"
"831","3","degree","69","69"
"828","3","degree","105","105"
"829","3","degree","89","89"
"833","3","degree","97","97"
"832","3","degree","80","80"
"835","3","degree","64","64"
"834","3","degree","107","107"
"836","3","degree","94","94"
"837","3","degree","70","70"
"839","3","degree","66","66"
"841","3","degree","62","62"
"840","3","degree","74","74"
"838","3","degree","91","91"
"844","3","degree","57","57"
"845","3","degree","66","66"
"842","3","degree","146","146"
"848","3","degree","73","73"
"843","3","degree","146","146"
"846","3","degree","96","96"
"847","3","degree","92","92"
"849","3","degree","75","75"
"850","3","degree","47","47"
"851","3","degree","54","54"
"852","3","degree","52","52"
"853","3","degree","78","78"
"856","3","degree","63","63"
"857","3","degree","49","49"
"855","3","degree","61","61"
"854","3","degree","97","97"
"859","3","degree","60","60"
"858","3","degree","71","71"
"863","3","degree","58","58"
"860","3","degree","73","73"
"865","3","degree","41","41"
"861","3","degree","70","70"
"867","3","degree","55","55"
"866","3","degree","57","57"
"864","3","degree","60","60"
"862","3","degree","89","89"
"872","3","degree","53","53"
"868","3","degree","81","81"
"870","3","degree","67","67"
"869","3","degree","85","85"
"875","3","degree","61","61"
"871","3","degree","73","73"
"874","3","degree","55","55"
"873","3","degree","99","99"
"878","3","degree","34","34"
"877","3","degree","53","53"
"879","3","degree","59","59"
"876","3","degree","70","70"
"882","3","degree","55","55"
"881","3","degree","96","96"
"883","3","degree","80","80"
"884","3","degree","59","59"
"880","3","degree","123","123"
"885","3","degree","68","68"
"886","3","degree","59","59"
"888","3","degree","47","47"
"887","3","degree","100","100"
"889","3","degree","64","64"
"894","3","degree","45","45"
"892","3","degree","56","56"
"890","3","degree","107","107"
"893","3","degree","69","69"
"895","3","degree","49","49"
"891","3","degree","109","109"
"896","3","degree","61","61"
"899","3","degree","62","62"
"902","3","degree","60","60"
"897","3","degree","93","93"
"900","3","degree","65","65"
"903","3","degree","42","42"
"898","3","degree","80","80"
"901","3","degree","115","115"
"904","3","degree","46","46"
"905","3","degree","46","46"
"907","3","degree","50","50"
"910","3","degree","42","42"
"909","3","degree","60","60"
"908","3","degree","77","77"
"911","3","degree","51","51"
"906","3","degree","87","87"
"912","3","degree","59","59"
"914","3","degree","61","61"
"918","3","degree","52","52"
"917","3","degree","62","62"
"913","3","degree","73","73"
"915","3","degree","55","55"
"919","3","degree","74","74"
"916","3","degree","98","98"
"920","3","degree","84","84"
"922","3","degree","55","55"
"921","3","degree","57","57"
"924","3","degree","77","77"
"925","3","degree","62","62"
"928","3","degree","48","48"
"927","3","degree","64","64"
"926","3","degree","80","80"
"923","3","degree","97","97"
"929","3","degree","72","72"
"932","3","degree","61","61"
"933","3","degree","68","68"
"935","3","degree","46","46"
"930","3","degree","72","72"
"936","3","degree","67","67"
"934","3","degree","81","81"
"931","3","degree","117","117"
"937","3","degree","72","72"
"938","3","degree","44","44"
"943","3","degree","40","40"
"941","3","degree","78","78"
"939","3","degree","121","121"
"942","3","degree","98","98"
"940","3","degree","99","99"
"944","3","degree","73","73"
"946","3","degree","62","62"
"945","3","degree","80","80"
"947","3","degree","52","52"
"950","3","degree","38","38"
"949","3","degree","48","48"
"951","3","degree","49","49"
"952","3","degree","51","51"
"948","3","degree","127","127"
"953","3","degree","75","75"
"954","3","degree","72","72"
"955","3","degree","90","90"
"957","3","degree","66","66"
"956","3","degree","57","57"
"958","3","degree","58","58"
"960","3","degree","54","54"
"959","3","degree","110","110"
"962","3","degree","51","51"
"961","3","degree","74","74"
"965","3","degree","53","53"
"963","3","degree","61","61"
"966","3","degree","47","47"
"964","3","degree","89","89"
"967","3","degree","78","78"
"969","3","degree","60","60"
"973","3","degree","54","54"
"971","3","degree","74","74"
"972","3","degree","86","86"
"968","3","degree","107","107"
"975","3","degree","91","91"
"974","3","degree","103","103"
"970","3","degree","140","140"
"976","3","degree","50","50"
"977","3","degree","80","80"
"978","3","degree","79","79"
"979","3","degree","83","83"
"983","3","degree","65","65"
"980","3","degree","112","112"
"982","3","degree","104","104"
"981","3","degree","144","144"
"985","3","degree","86","86"
"984","3","degree","91","91"
"986","3","degree","78","78"
